LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location29382 et al             5                   2.09                2.40                2.40                
location29400 et al             1                   6.03                0.17                0.17                
location29452 et al             1                   1.28                0.78                0.78                
location29463 et al             3                   5.80                0.52                0.52                
location29513 et al             2                   5.68                0.35                0.35                
location29562 et al             0                   5.80                0                   0                   
location2961 et al              0                   5.91                0                   0                   
location29612 et al             8                   2.55                3.14                3.14                
location29634 et al             10                  6.03                1.66                1.66                
location29686 et al             3                   5.57                0.54                0.54                
location29734 et al             1                   0.93                1.08                1.08                
location29742 et al             2                   1.51                1.33                1.33                
location29755 et al             13                  6.03                2.16                2.16                
location29807 et al             9                   5.80                1.55                1.55                
location29857 et al             6                   1.39                4.31                4.32                
location29869 et al             18                  4.64                3.88                3.89                
location29886 et al             4                   1.28                3.14                3.14                
location29897 et al             11                  5.91                1.86                1.86                
location29948 et al             8                   5.45                1.47                1.47                
location29965 et al             1                   1.51                0.66                0.66                
location29978 et al             0                   0.46                0                   0                   
location29982 et al             2                   1.97                1.01                1.01                
location29999 et al             8                   5.91                1.35                1.35                
location30050 et al             0                   6.03                0                   0                   
location30102 et al             4                   2.20                1.82                1.82                
location3012 et al              11                  5.68                1.94                1.94                
location30121 et al             3                   1.39                2.16                2.16                
location30133 et al             0                   0.46                0                   0                   
location30137 et al             1                   1.51                0.66                0.66                
location30150 et al             2                   1.86                1.08                1.08                
location30166 et al             9                   2.09                4.31                4.32                
location30184 et al             4                   5.91                0.68                0.68                
location30235 et al             8                   5.33                1.50                1.50                
location30281 et al             6                   5.33                1.12                1.13                
location30327 et al             0                   2.78                0                   0                   
location30351 et al             0                   5.33                0                   0                   
location30397 et al             8                   5.33                1.50                1.50                
location30443 et al             3                   2.09                1.44                1.44                
location30461 et al             4                   5.22                0.77                0.77                
location30506 et al             10                  5.57                1.80                1.80                
location30554 et al             4                   2.20                1.82                1.82                
location30573 et al             13                  5.91                2.20                2.20                
location3061 et al              2                   0.70                2.87                2.88                
location30624 et al             5                   4.75                1.05                1.05                
location30665 et al             7                   5.91                1.18                1.18                
location3071 et al              1                   4.52                0.22                0.22                
location30716 et al             2                   5.33                0.37                0.37                
location30762 et al             8                   5.33                1.50                1.50                
location30808 et al             5                   1.74                2.87                2.88                
location30823 et al             4                   1.74                2.30                2.30                
location30838 et al             4                   1.74                2.30                2.30                
location30853 et al             2                   1.28                1.57                1.57                
location30864 et al             1                   1.74                0.57                0.57                
location30879 et al             2                   1.74                1.15                1.15                
location30894 et al             5                   5.33                0.94                0.94                
location30940 et al             2                   0.58                3.45                3.45                
location30945 et al             2                   1.28                1.57                1.57                
location30956 et al             7                   1.74                4.02                4.03                
location30971 et al             3                   5.33                0.56                0.56                
location31017 et al             2                   5.22                0.38                0.38                
location31062 et al             5                   5.33                0.94                0.94                
location3110 et al              0                   5.33                0                   0                   
location31108 et al             0                   0.93                0                   0                   
location31116 et al             2                   0.93                2.16                2.16                
location31124 et al             3                   4.99                0.60                0.60                
location31167 et al             2                   0.93                2.16                2.16                
location31175 et al             2                   4.41                0.45                0.45                
location31213 et al             2                   0.93                2.16                2.16                
location31220 et al             3                   0.93                3.23                3.24                
location31228 et al             1                   0.93                1.08                1.08                
location31235 et al             1                   0.93                1.08                1.08                
location31242 et al             3                   0.93                3.23                3.24                
location31250 et al             3                   0.93                3.23                3.24                
location31258 et al             1                   0.93                1.08                1.08                
location31266 et al             1                   0.93                1.08                1.08                
location31273 et al             6                   3.71                1.62                1.62                
location31281 et al             3                   0.93                3.23                3.24                
location31289 et al             0                   1.28                0                   0                   
location31300 et al             2                   0.93                2.16                2.16                
location31307 et al             0                   5.91                0                   0                   
location31358 et al             0                   0.93                0                   0                   
location31366 et al             2                   0.58                3.45                3.45                
location31371 et al             3                   1.51                1.99                1.99                
location31384 et al             9                   1.74                5.17                5.18                
location31399 et al             1                   5.91                0.17                0.17                
location31450 et al             5                   1.74                2.87                2.88                
location31465 et al             2                   0.93                2.16                2.16                
location31473 et al             3                   0.81                3.70                3.70                
location31480 et al             3                   0.93                3.23                3.24                
location31488 et al             1                   5.91                0.17                0.17                
location31539 et al             6                   5.91                1.01                1.01                
location3156 et al              0                   1.51                0                   0                   
location31590 et al             3                   6.15                0.49                0.49                
location31643 et al             4                   5.91                0.68                0.68                
location3169 et al              0                   5.33                0                   0                   
location31694 et al             7                   5.10                1.37                1.37                
location31738 et al             2                   6.15                0.33                0.33                
location31791 et al             3                   29.57               0.10                0.10                
location32046 et al             3                   5.57                0.54                0.54                
location32094 et al             2                   5.80                0.34                0.34                
location32144 et al             6                   5.68                1.06                1.06                
location3215 et al              1                   3.01                0.33                0.33                
location32193 et al             6                   5.80                1.03                1.03                
location32243 et al             1                   6.15                0.16                0.16                
location32296 et al             2                   6.15                0.33                0.33                
location32349 et al             12                  6.15                1.95                1.95                
location32402 et al             2                   5.68                0.35                0.35                
location3241 et al              2                   1.16                1.72                1.73                
location32451 et al             10                  5.10                1.96                1.96                
location32495 et al             9                   6.15                1.46                1.47                
location3251 et al              5                   1.62                3.08                3.08                
location32548 et al             4                   5.68                0.70                0.70                
location32597 et al             0                   6.15                0                   0                   
location3265 et al              0                   1.62                0                   0                   
location32650 et al             4                   1.16                3.45                3.45                
location32660 et al             3                   6.03                0.50                0.50                
location32712 et al             3                   6.15                0.49                0.49                
location32765 et al             1                   6.15                0.16                0.16                
location3279 et al              5                   3.25                1.54                1.54                
location32818 et al             5                   5.57                0.90                0.90                
location32866 et al             6                   5.68                1.06                1.06                
location32915 et al             4                   6.15                0.65                0.65                
location32968 et al             1                   2.09                0.48                0.48                
location32986 et al             4                   5.57                0.72                0.72                
location33034 et al             1                   6.15                0.16                0.16                
location3307 et al              3                   3.13                0.96                0.96                
location33087 et al             4                   5.57                0.72                0.72                
location33135 et al             5                   5.68                0.88                0.88                
location33184 et al             6                   5.22                1.15                1.15                
location33229 et al             4                   1.16                3.45                3.45                
location33239 et al             1                   5.57                0.18                0.18                
location33287 et al             1                   1.62                0.62                0.62                
location33301 et al             1                   6.15                0.16                0.16                
location3334 et al              2                   1.28                1.57                1.57                
location33354 et al             2                   6.03                0.33                0.33                
location33406 et al             2                   4.41                0.45                0.45                
location33444 et al             7                   6.15                1.14                1.14                
location3345 et al              6                   3.36                1.78                1.79                
location33497 et al             2                   1.39                1.44                1.44                
location335 et al               8                   5.91                1.35                1.35                
location33509 et al             10                  5.57                1.80                1.80                
location33557 et al             2                   1.86                1.08                1.08                
location33573 et al             0                   5.68                0                   0                   
location33622 et al             3                   5.57                0.54                0.54                
location33670 et al             7                   6.15                1.14                1.14                
location33723 et al             9                   5.33                1.69                1.69                
location3374 et al              3                   0.81                3.70                3.70                
location33769 et al             4                   6.03                0.66                0.66                
location3381 et al              12                  2.55                4.70                4.71                
location33821 et al             1                   0.35                2.87                2.88                
location33824 et al             2                   1.51                1.33                1.33                
location33837 et al             2                   5.57                0.36                0.36                
location33885 et al             4                   1.51                2.65                2.65                
location33898 et al             3                   6.15                0.49                0.49                
location33951 et al             2                   5.57                0.36                0.36                
location33999 et al             3                   1.51                1.99                1.99                
location34012 et al             5                   1.39                3.59                3.60                
location34024 et al             6                   6.03                1.00                1.00                
location3403 et al              3                   3.13                0.96                0.96                
location34076 et al             0                   5.68                0                   0                   
location34125                   0                   0.12                0                   0                   
location34126 et al             3                   5.57                0.54                0.54                
location34174 et al             3                   1.51                1.99                1.99                
location34187 et al             2                   2.09                0.96                0.96                
location34205 et al             5                   3.94                1.27                1.27                
location34239 et al             4                   4.75                0.84                0.84                
location34280 et al             2                   6.15                0.33                0.33                
location3430 et al              3                   1.51                1.99                1.99                
location34333 et al             12                  5.80                2.07                2.07                
location34383 et al             8                   5.57                1.44                1.44                
location3443 et al              3                   3.13                0.96                0.96                
location34431 et al             7                   1.74                4.02                4.03                
location34446 et al             7                   6.15                1.14                1.14                
location34499 et al             5                   5.45                0.92                0.92                
location34546 et al             2                   1.16                1.72                1.73                
location34556 et al             1                   2.09                0.48                0.48                
location34574 et al             8                   5.57                1.44                1.44                
location34622 et al             3                   5.22                0.57                0.57                
location34667 et al             2                   1.62                1.23                1.23                
location34681 et al             9                   5.45                1.65                1.65                
location3470 et al              3                   3.36                0.89                0.89                
location34728 et al             7                   5.80                1.21                1.21                
location34778 et al             4                   5.57                0.72                0.72                
location34826 et al             4                   5.80                0.69                0.69                
location34876 et al             1                   5.91                0.17                0.17                
location34927 et al             3                   6.03                0.50                0.50                
location34979 et al             0                   6.03                0                   0                   
location3499 et al              1                   1.62                0.62                0.62                
location35031 et al             5                   5.45                0.92                0.92                
location35078 et al             8                   5.80                1.38                1.38                
location35128 et al             2                   2.09                0.96                0.96                
location3513 et al              0                   2.90                0                   0                   
location35146 et al             2                   5.68                0.35                0.35                
location35195 et al             1                   5.68                0.18                0.18                
location35244 et al             6                   5.68                1.06                1.06                
location35293 et al             1                   1.62                0.62                0.62                
location35307 et al             8                   5.10                1.57                1.57                
location35351 et al             10                  6.15                1.63                1.63                
location3538 et al              0                   1.04                0                   0                   
location35404 et al             0                   1.62                0                   0                   
location35418 et al             7                   1.74                4.02                4.03                
location35433 et al             2                   5.91                0.34                0.34                
location3547 et al              7                   3.13                2.24                2.24                
location35484 et al             4                   1.51                2.65                2.65                
location35497 et al             14                  5.45                2.57                2.57                
location35544 et al             1                   3.36                0.30                0.30                
location35573 et al             15                  6.03                2.49                2.49                
location35625 et al             2                   6.03                0.33                0.33                
location35677 et al             1                   0.58                1.72                1.73                
location35682 et al             6                   5.45                1.10                1.10                
location35729 et al             2                   1.28                1.57                1.57                
location3574 et al              6                   3.36                1.78                1.79                
location35740 et al             15                  6.03                2.49                2.49                
location35792 et al             1                   3.71                0.27                0.27                
location35824 et al             0                   6.03                0                   0                   
location35876 et al             3                   6.03                0.50                0.50                
location35928 et al             1                   1.16                0.86                0.86                
location35938 et al             1                   1.28                0.78                0.78                
location35949 et al             3                   5.91                0.51                0.51                
location36000 et al             1                   0.93                1.08                1.08                
location36008 et al             7                   12.06               0.58                0.58                
location3603 et al              1                   0.23                4.31                4.31                
location3605 et al              5                   1.62                3.08                3.08                
location36112 et al             1                   5.57                0.18                0.18                
location36160 et al             0                   2.09                0                   0                   
location36178 et al             2                   2.20                0.91                0.91                
location3619 et al              7                   1.51                4.64                4.65                
location36197 et al             1                   1.39                0.72                0.72                
location36209 et al             3                   6.03                0.50                0.50                
location36261 et al             6                   5.68                1.06                1.06                
location36310 et al             1                   1.39                0.72                0.72                
location3632 et al              1                   0.93                1.08                1.08                
location36322 et al             3                   5.68                0.53                0.53                
location36371 et al             2                   0.58                3.45                3.45                
location36376 et al             3                   5.91                0.51                0.51                
location3640 et al              5                   3.36                1.49                1.49                
location36427 et al             0                   5.91                0                   0                   
location36478 et al             3                   5.10                0.59                0.59                
location36522 et al             6                   5.45                1.10                1.10                
location36569 et al             3                   2.32                1.29                1.29                
location36589 et al             5                   1.62                3.08                3.08                
location36603 et al             1                   5.91                0.17                0.17                
location36654 et al             10                  6.15                1.63                1.63                
location3669 et al              7                   1.62                4.31                4.32                
location36707 et al             7                   1.86                3.77                3.78                
location36723 et al             1                   2.32                0.43                0.43                
location36743 et al             7                   5.91                1.18                1.18                
location36794 et al             5                   1.28                3.92                3.92                
location36805 et al             5                   5.68                0.88                0.88                
location3683 et al              0                   5.91                0                   0                   
location36854 et al             1                   2.55                0.39                0.39                
location36876 et al             0                   2.20                0                   0                   
location36895 et al             3                   2.32                1.29                1.29                
location36915 et al             14                  4.64                3.02                3.02                
location36955 et al             2                   2.32                0.86                0.86                
location36975 et al             8                   3.83                2.09                2.09                
location37008 et al             2                   2.20                0.91                0.91                
location37027 et al             2                   5.91                0.34                0.34                
location37078 et al             14                  5.68                2.46                2.47                
location37127 et al             5                   5.91                0.85                0.85                
location37178 et al             11                  3.36                3.27                3.28                
location37207 et al             2                   2.43                0.82                0.82                
location37228 et al             9                   5.10                1.76                1.77                
location37272 et al             3                   6.03                0.50                0.50                
location37324 et al             0                   0.58                0                   0                   
location37329 et al             1                   1.51                0.66                0.66                
location3734 et al              2                   1.51                1.33                1.33                
location37342 et al             9                   6.03                1.49                1.49                
location37394 et al             4                   6.03                0.66                0.66                
location37446 et al             1                   0.70                1.44                1.44                
location37452 et al             13                  6.03                2.16                2.16                
location3747 et al              0                   1.97                0                   0                   
location37504 et al             1                   6.03                0.17                0.17                
location37556 et al             2                   6.03                0.33                0.33                
location37608 et al             3                   1.51                1.99                1.99                
location37621 et al             0                   0.81                0                   0                   
location37626 et al             6                   1.51                3.98                3.98                
location37639 et al             2                   6.15                0.33                0.33                
location3764 et al              4                   1.74                2.30                2.30                
location37692 et al             5                   6.15                0.81                0.81                
location37745 et al             2                   1.16                1.72                1.73                
location37755 et al             0                   1.39                0                   0                   
location37767 et al             2                   5.80                0.34                0.34                
location3779 et al              6                   5.57                1.08                1.08                
location37817 et al             3                   3.25                0.92                0.92                
location37845 et al             4                   6.03                0.66                0.66                
location37897 et al             0                   3.25                0                   0                   
location37925 et al             4                   5.91                0.68                0.68                
location37976 et al             9                   5.91                1.52                1.52                
location38027 et al             2                   5.80                0.34                0.34                
location38077 et al             3                   5.91                0.51                0.51                
location38128 et al             3                   5.91                0.51                0.51                
location38179 et al             4                   5.91                0.68                0.68                
location38230 et al             1                   1.51                0.66                0.66                
location38243 et al             4                   5.91                0.68                0.68                
location3827 et al              4                   5.57                0.72                0.72                
location38294 et al             7                   5.45                1.28                1.28                
location38341 et al             5                   5.91                0.85                0.85                
location38392 et al             8                   5.91                1.35                1.35                
location38443 et al             0                   5.91                0                   0                   
location38494 et al             3                   5.91                0.51                0.51                
location38545 et al             4                   5.91                0.68                0.68                
location38596 et al             3                   1.51                1.99                1.99                
location386 et al               3                   1.04                2.87                2.88                
location38609 et al             1                   2.55                0.39                0.39                
location38631 et al             8                   5.91                1.35                1.35                
location38682 et al             5                   6.03                0.83                0.83                
location38734 et al             0                   6.03                0                   0                   
location3875 et al              8                   6.03                1.33                1.33                
location38786 et al             1                   6.03                0.17                0.17                
location38838 et al             8                   6.03                1.33                1.33                
location38890 et al             3                   5.68                0.53                0.53                
location38939 et al             3                   6.03                0.50                0.50                
location38991 et al             1                   5.57                0.18                0.18                
location39039 et al             10                  5.91                1.69                1.69                
location39090 et al             1                   1.62                0.62                0.62                
location39104 et al             4                   5.33                0.75                0.75                
location39150 et al             1                   5.33                0.19                0.19                
location39196 et al             1                   5.68                0.18                0.18                
location39245 et al             3                   5.57                0.54                0.54                
location3927 et al              17                  5.57                3.05                3.06                
location39293 et al             3                   3.13                0.96                0.96                
location39320 et al             6                   5.91                1.01                1.01                
location39371 et al             4                   5.33                0.75                0.75                
location39417 et al             3                   5.33                0.56                0.56                
location39463 et al             1                   5.45                0.18                0.18                
location395 et al               2                   0.93                2.16                2.16                
location39510 et al             2                   1.74                1.15                1.15                
location39525 et al             2                   5.45                0.37                0.37                
location39572 et al             1                   6.15                0.16                0.16                
location39625 et al             4                   1.39                2.87                2.88                
location39637 et al             1                   6.15                0.16                0.16                
location39690 et al             5                   5.91                0.85                0.85                
location39741 et al             1                   5.91                0.17                0.17                
location3975 et al              1                   0.81                1.23                1.23                
location39792 et al             2                   6.15                0.33                0.33                
location3982 et al              4                   6.15                0.65                0.65                
location39845 et al             0                   2.43                0                   0                   
location39866 et al             2                   1.51                1.33                1.33                
location39879 et al             1                   2.78                0.36                0.36                
location39903 et al             1                   5.68                0.18                0.18                
location39952 et al             2                   5.68                0.35                0.35                
location40001 et al             5                   5.91                0.85                0.85                
location40052 et al             1                   5.68                0.18                0.18                
location40101 et al             1                   1.62                0.62                0.62                
location40115 et al             1                   1.51                0.66                0.66                
location40128 et al             4                   1.51                2.65                2.65                
location40141 et al             0                   0.35                0                   0                   
location40144 et al             1                   2.20                0.45                0.45                
location40163 et al             2                   5.91                0.34                0.34                
location40214 et al             5                   5.57                0.90                0.90                
location40262 et al             6                   5.91                1.01                1.01                
location403 et al               2                   0.93                2.16                2.16                
location40313 et al             6                   5.68                1.06                1.06                
location4035 et al              4                   6.03                0.66                0.66                
location40362 et al             3                   1.62                1.85                1.85                
location40376 et al             6                   4.64                1.29                1.29                
location40416 et al             12                  5.68                2.11                2.11                
location40465 et al             1                   5.91                0.17                0.17                
location40516 et al             8                   5.10                1.57                1.57                
location40560 et al             4                   3.25                1.23                1.23                
location40588 et al             5                   5.91                0.85                0.85                
location40639 et al             1                   5.68                0.18                0.18                
location40688 et al             2                   5.91                0.34                0.34                
location40739 et al             3                   5.91                0.51                0.51                
location40790 et al             5                   1.51                3.32                3.32                
location40803 et al             1                   5.91                0.17                0.17                
location40854 et al             1                   0.93                1.08                1.08                
location40862 et al             4                   5.57                0.72                0.72                
location4087 et al              7                   5.45                1.28                1.28                
location40910 et al             2                   0.93                2.16                2.16                
location40918 et al             1                   4.64                0.22                0.22                
location40958 et al             2                   0.93                2.16                2.16                
location40966 et al             1                   1.74                0.57                0.57                
location40981 et al             1                   1.04                0.96                0.96                
location40988 et al             2                   0.93                2.16                2.16                
location40995 et al             0                   0.93                0                   0                   
location41003 et al             5                   5.91                0.85                0.85                
location41054 et al             0                   1.51                0                   0                   
location41067 et al             1                   1.51                0.66                0.66                
location41080 et al             1                   5.91                0.17                0.17                
location41131 et al             1                   0.93                1.08                1.08                
location41139 et al             3                   2.09                1.44                1.44                
location41157 et al             0                   1.62                0                   0                   
location41171 et al             3                   5.80                0.52                0.52                
location41221 et al             4                   5.80                0.69                0.69                
location41271 et al             7                   6.03                1.16                1.16                
location41323 et al             1                   5.45                0.18                0.18                
location4134 et al              5                   1.51                3.32                3.32                
location41370 et al             1                   1.74                0.57                0.57                
location41385 et al             3                   1.51                1.99                1.99                
location41398 et al             5                   1.86                2.70                2.70                
location41414 et al             0                   5.91                0                   0                   
location41465 et al             1                   5.80                0.17                0.17                
location4147 et al              2                   5.57                0.36                0.36                
location41515 et al             1                   1.51                0.66                0.66                
location41528 et al             6                   4.99                1.20                1.20                
location41571 et al             2                   1.28                1.57                1.57                
location41573 et al             8                   6.15                1.30                1.30                
location41626 et al             1                   1.86                0.54                0.54                
location41642 et al             8                   5.80                1.38                1.38                
location41692 et al             9                   5.80                1.55                1.55                
location41742 et al             15                  5.80                2.59                2.59                
location41792 et al             3                   1.39                2.16                2.16                
location41804 et al             8                   1.51                5.31                5.31                
location41817 et al             7                   2.67                2.62                2.63                
location41840 et al             5                   5.80                0.86                0.86                
location41890 et al             0                   5.80                0                   0                   
location419 et al               1                   0.93                1.08                1.08                
location41940 et al             11                  5.80                1.90                1.90                
location4195 et al              0                   1.51                0                   0                   
location41990 et al             13                  3.36                3.87                3.87                
location42019 et al             6                   5.91                1.01                1.01                
location42070 et al             1                   1.62                0.62                0.62                
location4208 et al              10                  5.45                1.84                1.84                
location42084 et al             12                  6.15                1.95                1.95                
location42137 et al             3                   1.74                1.72                1.73                
location42152 et al             0                   6.03                0                   0                   
location42204 et al             6                   6.03                1.00                1.00                
location42256 et al             6                   1.51                3.98                3.98                
location42269 et al             4                   6.03                0.66                0.66                
location42321 et al             3                   1.62                1.85                1.85                
location42335 et al             1                   6.03                0.17                0.17                
location42387 et al             0                   1.86                0                   0                   
location42403 et al             0                   6.03                0                   0                   
location42455 et al             3                   6.03                0.50                0.50                
location42507 et al             1                   1.51                0.66                0.66                
location42520 et al             5                   5.33                0.94                0.94                
location4255 et al              2                   6.15                0.33                0.33                
location42566 et al             3                   2.20                1.36                1.36                
location42585 et al             3                   2.09                1.44                1.44                
location42603 et al             6                   5.22                1.15                1.15                
location42648 et al             16                  5.45                2.94                2.94                
location42695 et al             5                   4.41                1.13                1.13                
location42733 et al             1                   5.22                0.19                0.19                
location42830 et al             3                   1.28                2.35                2.35                
location42841 et al             3                   1.39                2.16                2.16                
location42853 et al             1                   1.62                0.62                0.62                
location42867 et al             13                  5.80                2.24                2.25                
location42917 et al             7                   6.15                1.14                1.14                
location42970 et al             1                   6.15                0.16                0.16                
location43023 et al             4                   5.80                0.69                0.69                
location43073 et al             4                   5.57                0.72                0.72                
location4308 et al              11                  6.03                1.82                1.83                
location43121 et al             10                  5.57                1.80                1.80                
location43169 et al             6                   5.68                1.06                1.06                
location43218 et al             0                   1.04                0                   0                   
location43227 et al             4                   1.97                2.03                2.03                
location43244 et al             3                   3.94                0.76                0.76                
location43278 et al             4                   5.57                0.72                0.72                
location43326 et al             5                   5.57                0.90                0.90                
location43374 et al             7                   5.33                1.31                1.31                
location43420 et al             0                   5.45                0                   0                   
location43467 et al             3                   2.55                1.18                1.18                
location43489 et al             1                   5.91                0.17                0.17                
location43540 et al             5                   5.91                0.85                0.85                
location43591 et al             5                   5.91                0.85                0.85                
location4360 et al              12                  5.45                2.20                2.20                
location43642 et al             9                   6.15                1.46                1.47                
location43695 et al             1                   6.15                0.16                0.16                
location43748 et al             1                   5.91                0.17                0.17                
location43799 et al             8                   5.91                1.35                1.35                
location43850 et al             1                   1.51                0.66                0.66                
location43863 et al             9                   3.36                2.68                2.68                
location43892 et al             6                   3.13                1.92                1.92                
location43919 et al             3                   2.90                1.03                1.03                
location43944 et al             3                   3.36                0.89                0.89                
location43973 et al             7                   1.62                4.31                4.32                
location43987 et al             4                   3.36                1.19                1.19                
location44016 et al             8                   3.25                2.46                2.47                
location44044 et al             7                   3.36                2.08                2.08                
location4407 et al              4                   6.15                0.65                0.65                
location44073 et al             5                   3.36                1.49                1.49                
location44102 et al             9                   3.36                2.68                2.68                
location44131 et al             4                   3.36                1.19                1.19                
location44160 et al             5                   2.78                1.80                1.80                
location44184 et al             2                   3.13                0.64                0.64                
location44211 et al             2                   1.86                1.08                1.08                
location44227 et al             3                   0.93                3.23                3.24                
location44235 et al             1                   0.58                1.72                1.73                
location44239 et al             2                   1.51                1.33                1.33                
location44252 et al             3                   1.51                1.99                1.99                
location44265 et al             7                   5.91                1.18                1.18                
location44316 et al             8                   1.51                5.31                5.31                
location44329 et al             4                   2.20                1.82                1.82                
location44348 et al             0                   6.03                0                   0                   
location444 et al               1                   0.93                1.08                1.08                
location44400 et al             8                   5.91                1.35                1.35                
location44451 et al             4                   5.33                0.75                0.75                
location44497 et al             2                   5.33                0.37                0.37                
location44543 et al             2                   2.32                0.86                0.86                
location44563 et al             0                   1.16                0                   0                   
location44573 et al             0                   3.83                0                   0                   
location4460 et al              3                   1.51                1.99                1.99                
location44606 et al             3                   1.51                1.99                1.99                
location44619                   0                   0.12                0                   0                   
location44620 et al             6                   5.33                1.12                1.13                
location44666 et al             1                   5.57                0.18                0.18                
location44683 et al             1                   0.93                1.08                1.08                
location44691 et al             4                   3.71                1.08                1.08                
location44723 et al             3                   5.45                0.55                0.55                
location4473 et al              5                   5.45                0.92                0.92                
location44770 et al             1                   1.74                0.57                0.57                
location44785 et al             5                   6.15                0.81                0.81                
location44838 et al             6                   5.91                1.01                1.01                
location44889 et al             2                   6.15                0.33                0.33                
location44942 et al             1                   5.80                0.17                0.17                
location44992 et al             9                   5.80                1.55                1.55                
location45042 et al             1                   0.93                1.08                1.08                
location45050 et al             15                  6.03                2.49                2.49                
location45102 et al             1                   6.15                0.16                0.16                
location45155 et al             2                   5.57                0.36                0.36                
location4520 et al              1                   1.51                0.66                0.66                
location45203 et al             0                   1.74                0                   0                   
location45218 et al             6                   1.62                3.70                3.70                
location45232 et al             1                   3.13                0.32                0.32                
location45259 et al             0                   6.15                0                   0                   
location453 et al               0                   0.23                0                   0                   
location45312 et al             4                   1.62                2.46                2.47                
location45326 et al             5                   2.09                2.40                2.40                
location4533 et al              1                   6.15                0.16                0.16                
location45344 et al             2                   1.62                1.23                1.23                
location45358 et al             3                   6.15                0.49                0.49                
location45411 et al             1                   3.25                0.31                0.31                
location45439 et al             0                   1.86                0                   0                   
location45455 et al             0                   5.80                0                   0                   
location455 et al               3                   0.93                3.23                3.24                
location45505 et al             12                  3.36                3.57                3.57                
location45534 et al             13                  6.03                2.16                2.16                
location45586 et al             9                   5.80                1.55                1.55                
location45636 et al             5                   3.01                1.66                1.66                
location45662 et al             0                   1.86                0                   0                   
location45678 et al             12                  5.45                2.20                2.20                
location45725 et al             12                  5.45                2.20                2.20                
location45772 et al             8                   5.80                1.38                1.38                
location45822 et al             6                   5.45                1.10                1.10                
location4586 et al              2                   5.33                0.37                0.37                
location45869 et al             1                   1.86                0.54                0.54                
location45885 et al             8                   5.45                1.47                1.47                
location45932 et al             3                   5.45                0.55                0.55                
location45979 et al             6                   1.74                3.45                3.45                
location45994 et al             6                   11.13               0.54                0.54                
location46042 et al             0                   0.46                0                   0                   
location46046 et al             7                   6.03                1.16                1.16                
location46098 et al             0                   0.35                0                   0                   
location46101 et al             2                   4.64                0.43                0.43                
location46141 et al             2                   1.51                1.33                1.33                
location46154 et al             4                   1.97                2.03                2.03                
location46171 et al             6                   5.57                1.08                1.08                
location46219 et al             5                   1.51                3.32                3.32                
location46232 et al             7                   3.13                2.24                2.24                
location46259 et al             6                   5.45                1.10                1.10                
location463 et al               3                   0.93                3.23                3.24                
location46306 et al             6                   2.43                2.46                2.47                
location4632 et al              5                   1.62                3.08                3.08                
location46327 et al             2                   4.64                0.43                0.43                
location46367 et al             9                   5.57                1.62                1.62                
location46415 et al             4                   5.57                0.72                0.72                
location4646 et al              7                   6.03                1.16                1.16                
location46463 et al             1                   1.28                0.78                0.78                
location46474 et al             1                   5.91                0.17                0.17                
location46525 et al             2                   6.03                0.33                0.33                
location46577 et al             4                   5.91                0.68                0.68                
location46628 et al             6                   6.03                1.00                1.00                
location46680 et al             0                   1.86                0                   0                   
location46696 et al             11                  5.80                1.90                1.90                
location46746 et al             4                   6.03                0.66                0.66                
location46798 et al             0                   3.01                0                   0                   
location46824 et al             7                   5.80                1.21                1.21                
location46874 et al             1                   2.32                0.43                0.43                
location46942 et al             6                   5.45                1.10                1.10                
location4698 et al              14                  6.03                2.32                2.33                
location46989 et al             8                   5.33                1.50                1.50                
location47035 et al             5                   5.33                0.94                0.94                
location47081 et al             1                   0.93                1.08                1.08                
location47089 et al             2                   1.86                1.08                1.08                
location471 et al               2                   0.93                2.16                2.16                
location47105 et al             0                   0.35                0                   0                   
location47108 et al             0                   2.20                0                   0                   
location47127 et al             4                   6.15                0.65                0.65                
location47180 et al             8                   6.15                1.30                1.30                
location47233 et al             1                   1.51                0.66                0.66                
location47246 et al             10                  6.15                1.63                1.63                
location47299 et al             0                   0.93                0                   0                   
location47307 et al             5                   5.80                0.86                0.86                
location47357 et al             6                   2.09                2.87                2.88                
location47375 et al             3                   5.57                0.54                0.54                
location47423 et al             1                   1.97                0.51                0.51                
location47440 et al             3                   6.03                0.50                0.50                
location47492 et al             10                  6.03                1.66                1.66                
location4750 et al              3                   2.78                1.08                1.08                
location47544 et al             5                   5.91                0.85                0.85                
location47595 et al             3                   1.74                1.72                1.73                
location47610 et al             2                   5.91                0.34                0.34                
location47661 et al             8                   8.46                0.95                0.95                
location47708 et al             8                   5.45                1.47                1.47                
location4774 et al              8                   5.57                1.44                1.44                
location47755 et al             0                   6.03                0                   0                   
location47807 et al             4                   1.62                2.46                2.47                
location47821 et al             7                   6.03                1.16                1.16                
location47873 et al             7                   6.03                1.16                1.16                
location479 et al               2                   0.93                2.16                2.16                
location47925 et al             11                  6.03                1.82                1.83                
location47977 et al             13                  5.91                2.20                2.20                
location48028 et al             0                   1.62                0                   0                   
location48042 et al             0                   6.03                0                   0                   
location48094 et al             15                  6.03                2.49                2.49                
location48146 et al             1                   2.09                0.48                0.48                
location48164 et al             4                   6.03                0.66                0.66                
location48216 et al             8                   6.03                1.33                1.33                
location4822 et al              16                  6.15                2.60                2.61                
location48268 et al             2                   5.91                0.34                0.34                
location48319 et al             1                   0.93                1.08                1.08                
