LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location21013 et al             8                   8.00                1.00                1.00                
location2105 et al              7                   7.00                1.00                1.00                
location21062 et al             3                   3.00                1.00                1.00                
location21111 et al             8                   8.00                1.00                1.00                
location21159 et al             22                  22.00               1.00                1.00                
location21207 et al             6                   6.00                1.00                1.00                
location21256 et al             3                   3.00                1.00                1.00                
location21304 et al             7                   7.00                1.00                1.00                
location21353 et al             3                   3.00                1.00                1.00                
location21402 et al             7                   7.00                1.00                1.00                
location21451 et al             10                  10.00               1.00                1.00                
location21499 et al             10                  10.00               1.00                1.00                
location2154 et al              3                   3.00                1.00                1.00                
location21548 et al             7                   7.00                1.00                1.00                
location21597 et al             5                   5.00                1.00                1.00                
location21647 et al             5                   5.00                1.00                1.00                
location21696 et al             3                   3.00                1.00                1.00                
location21745 et al             1                   1.00                1.00                1.00                
location21794 et al             1                   1.00                1.00                1.00                
location21825 et al             7                   7.00                1.00                1.00                
location21874 et al             0                   0                   n/a                 n/a                 
location21923 et al             9                   9.00                1.00                1.00                
location21972 et al             3                   3.00                1.00                1.00                
location22021 et al             4                   4.00                1.00                1.00                
location2203 et al              11                  11.00               1.00                1.00                
location22042 et al             6                   6.00                1.00                1.00                
location22091 et al             1                   1.00                1.00                1.00                
location22140 et al             7                   7.00                1.00                1.00                
location22188 et al             3                   3.00                1.00                1.00                
location22238 et al             5                   5.00                1.00                1.00                
location22287 et al             0                   0                   n/a                 n/a                 
location22330 et al             15                  15.00               1.00                1.00                
location22379 et al             5                   5.00                1.00                1.00                
location22428 et al             6                   6.00                1.00                1.00                
location22477 et al             0                   0                   n/a                 n/a                 
location2252 et al              14                  14.00               1.00                1.00                
location22527 et al             2                   2.00                1.00                1.00                
location22576 et al             13                  13.00               1.00                1.00                
location22625 et al             10                  10.00               1.00                1.00                
location22674 et al             11                  11.00               1.00                1.00                
location22723 et al             13                  13.00               1.00                1.00                
location2276 et al              9                   9.00                1.00                1.00                
location22773 et al             12                  12.00               1.00                1.00                
location22822 et al             8                   8.00                1.00                1.00                
location22871 et al             10                  10.00               1.00                1.00                
location22920 et al             13                  13.00               1.00                1.00                
location22969 et al             16                  16.00               1.00                1.00                
location23018 et al             8                   8.00                1.00                1.00                
location23067 et al             0                   0                   n/a                 n/a                 
location23072 et al             9                   9.00                1.00                1.00                
location23121 et al             19                  19.00               1.00                1.00                
location23170 et al             12                  12.00               1.00                1.00                
location23219 et al             15                  15.00               1.00                1.00                
location2325 et al              3                   3.00                1.00                1.00                
location23267 et al             3                   3.00                1.00                1.00                
location23316 et al             8                   8.00                1.00                1.00                
location23365 et al             0                   0                   n/a                 n/a                 
location23414 et al             6                   6.00                1.00                1.00                
location23461 et al             3                   3.00                1.00                1.00                
location23510 et al             18                  18.00               1.00                1.00                
location23559 et al             2                   2.00                1.00                1.00                
location23608 et al             4                   4.00                1.00                1.00                
location23657 et al             9                   9.00                1.00                1.00                
location23707 et al             5                   5.00                1.00                1.00                
location2374 et al              12                  12.00               1.00                1.00                
location23755 et al             2                   2.00                1.00                1.00                
location23804 et al             5                   5.00                1.00                1.00                
location23852 et al             9                   9.00                1.00                1.00                
location23901 et al             6                   6.00                1.00                1.00                
location23951 et al             12                  12.00               1.00                1.00                
location24001 et al             14                  14.00               1.00                1.00                
location24050 et al             4                   4.00                1.00                1.00                
location24098 et al             0                   0                   n/a                 n/a                 
location24100 et al             7                   7.00                1.00                1.00                
location24149 et al             9                   9.00                1.00                1.00                
location24197 et al             7                   7.00                1.00                1.00                
location2423 et al              1                   1.00                1.00                1.00                
location24246 et al             10                  10.00               1.00                1.00                
location24294 et al             0                   0                   n/a                 n/a                 
location24344 et al             5                   5.00                1.00                1.00                
location24368 et al             2                   2.00                1.00                1.00                
location24417 et al             3                   3.00                1.00                1.00                
location2445 et al              12                  12.00               1.00                1.00                
location24466 et al             8                   8.00                1.00                1.00                
location24515 et al             9                   9.00                1.00                1.00                
location24564 et al             3                   3.00                1.00                1.00                
location24613 et al             4                   4.00                1.00                1.00                
location24662 et al             1                   1.00                1.00                1.00                
location24711 et al             6                   6.00                1.00                1.00                
location24760 et al             6                   6.00                1.00                1.00                
location248 et al               9                   9.00                1.00                1.00                
location24809 et al             4                   4.00                1.00                1.00                
location24858 et al             12                  12.00               1.00                1.00                
location24907 et al             10                  10.00               1.00                1.00                
location2494 et al              2                   2.00                1.00                1.00                
location24956 et al             0                   0                   n/a                 n/a                 
location24992 et al             3                   3.00                1.00                1.00                
location25041 et al             0                   0                   n/a                 n/a                 
location25090 et al             5                   5.00                1.00                1.00                
location25139 et al             4                   4.00                1.00                1.00                
location25166 et al             0                   0                   n/a                 n/a                 
location25168 et al             7                   7.00                1.00                1.00                
location25217 et al             7                   7.00                1.00                1.00                
location25266 et al             11                  11.00               1.00                1.00                
location25315 et al             3                   3.00                1.00                1.00                
location25362 et al             7                   7.00                1.00                1.00                
location25411 et al             10                  10.00               1.00                1.00                
location2543 et al              7                   7.00                1.00                1.00                
location25460 et al             4                   4.00                1.00                1.00                
location25509 et al             2                   2.00                1.00                1.00                
location25558 et al             2                   2.00                1.00                1.00                
location25607 et al             7                   7.00                1.00                1.00                
location25656 et al             2                   2.00                1.00                1.00                
location25669 et al             12                  12.00               1.00                1.00                
location25718 et al             9                   9.00                1.00                1.00                
location25767 et al             1                   1.00                1.00                1.00                
location25816 et al             9                   9.00                1.00                1.00                
location25865 et al             13                  13.00               1.00                1.00                
location25915 et al             6                   6.00                1.00                1.00                
location2593 et al              2                   2.00                1.00                1.00                
location25964 et al             5                   5.00                1.00                1.00                
location26014 et al             9                   9.00                1.00                1.00                
location26045 et al             5                   5.00                1.00                1.00                
location26095 et al             8                   8.00                1.00                1.00                
location26144 et al             8                   8.00                1.00                1.00                
location26188 et al             7                   7.00                1.00                1.00                
location26237 et al             1                   1.00                1.00                1.00                
location26253 et al             6                   6.00                1.00                1.00                
location26302 et al             3                   3.00                1.00                1.00                
location26352 et al             7                   7.00                1.00                1.00                
location26402 et al             2                   2.00                1.00                1.00                
location2642 et al              7                   7.00                1.00                1.00                
location26452 et al             3                   3.00                1.00                1.00                
location26500 et al             0                   0                   n/a                 n/a                 
location26550 et al             5                   5.00                1.00                1.00                
location26599 et al             1                   1.00                1.00                1.00                
location26648 et al             8                   8.00                1.00                1.00                
location26697 et al             20                  20.00               1.00                1.00                
location26747 et al             8                   8.00                1.00                1.00                
location26797 et al             9                   9.00                1.00                1.00                
location26847 et al             16                  16.00               1.00                1.00                
location26896 et al             15                  15.00               1.00                1.00                
location2692 et al              3                   3.00                1.00                1.00                
location26946 et al             4                   4.00                1.00                1.00                
location26995 et al             2                   2.00                1.00                1.00                
location27045 et al             2                   2.00                1.00                1.00                
location27090 et al             4                   4.00                1.00                1.00                
location27140 et al             11                  11.00               1.00                1.00                
location27190 et al             4                   4.00                1.00                1.00                
location27240 et al             4                   4.00                1.00                1.00                
location27289 et al             6                   6.00                1.00                1.00                
location27339 et al             1                   1.00                1.00                1.00                
location27354 et al             7                   7.00                1.00                1.00                
location27403 et al             1                   1.00                1.00                1.00                
location2741 et al              2                   2.00                1.00                1.00                
location27452 et al             13                  13.00               1.00                1.00                
location27501 et al             3                   3.00                1.00                1.00                
location27550 et al             1                   1.00                1.00                1.00                
location27598 et al             6                   6.00                1.00                1.00                
location27646 et al             15                  15.00               1.00                1.00                
location27695 et al             13                  13.00               1.00                1.00                
location27743 et al             7                   7.00                1.00                1.00                
location27792 et al             5                   5.00                1.00                1.00                
location27841 et al             13                  13.00               1.00                1.00                
location27890 et al             12                  12.00               1.00                1.00                
location2790 et al              3                   3.00                1.00                1.00                
location27939 et al             4                   4.00                1.00                1.00                
location27989 et al             3                   3.00                1.00                1.00                
location28038 et al             5                   5.00                1.00                1.00                
